station_name	routes	ridership_2013	ridership_2014	ridership_2015	ridership_2016	ridership_2017	ridership_2018	change_2018_raw	change_2018_percent	rank_ridership_2018
36 St	"D,N,R"	12059	12497	12810	13180	13894	13493	-401	-0.029	111
W 4 St - Washington Sq	"A,B,C,D,E,F,M"	40798	41968	42760	42755	41835	40666	-1169	-0.028	22
Jay St - MetroTech	"A,C,F,R"	40183	41405	43456	44267	43833	42274	-1559	-0.036	21
Times Sq - 42 St / 42 St	"N,Q,R,W,S,1,2,3,7 / A,C,E"	197696	204908	206247	202363	203545	204017	472	0.002	1
4 Av	"F,G,R"	13156	12835	13126	13116	13962	12560	-1402	-0.1	123
Lorimer St / Metropolitan Av	L/G	14004	14573	15131	15082	14752	14299	-453	-0.031	108
New Utrecht Av / 62 St	N / G	5159	5270	5551	5602	5217	4673	-544	-0.104	302
Lexington Av/53 St / 51 St	"E,M/ 6"	69973	70606	70686	69750	66118	64499	-1619	-0.024	10
5 Av/53 St	"E,M"	25939	26761	26955	26566	25746	27612	1866	0.072	36
59 St - Columbus Circle	"A,B,C,D,1"	72236	74572	73954	73836	73105	73003	-102	-0.001	8
Myrtle - Wyckoff Avs	"L,M"	18167	19203	19490	19673	22434	21241	-1193	-0.053	63
Lexington Av/59 St	"N,W,R / 4,5,6"	67841	69332	68988	67684	58467	55608	-2859	-0.049	14
5 Av/59 St	"N,W,R"	18394	19245	18957	18637	16871	16638	-233	-0.014	81
14 St / 8 Av	"A,C,E / L"	42718	43953	45253	44680	43434	44031	597	0.014	18
Crown Hts - Utica Av	"3,4"	27780	28287	28146	29069	28980	25336	-3644	-0.126	48
149 St - Grand Concourse	"2,4,5"	14380	14576	14465	14460	14063	13081	-982	-0.07	116
Atlantic Av - Barclays Ctr	"B,D,N,Q,R,2,3,4,5"	39871	41645	42231	42711	42095	43211	1116	0.027	19
Coney Island - Stillwell Av	"D,F,N,Q"	13177	13734	14073	14098	13542	13203	-339	-0.025	115
Wakefield - 241 St	2	4825	5168	5186	5213	5129	4763	-366	-0.071	295
Broadway-Lafayette St / Blecker St	"B,D,F,M / 6"	38799	40148	39724	39058	37986	36493	-1493	-0.039	25
Broadway Jct	"A,C,J,L,Z"	8863	9149	9251	9189	8681	8142	-539	-0.062	186
Fulton St	"A,C,J,Z,2,3,4,5"	64461	69444	74676	85440	91771	92990	1219	0.013	5
Grand Central - 42 St	"S,4,5,6,7"	153861	157899	160294	158580	154711	155345	634	0.004	2
7 Av	"B,D,E"	15800	16833	17356	17538	17334	17947	613	0.035	77
49 St	"N,R,W"	25356	26546	25459	27077	26519	25911	-608	-0.023	44
47-50 Sts - Rockefeller Ctr	"B,D,F,M"	61099	62693	63803	62283	61478	61027	-451	-0.007	11
Franklin Av	"C,S"	6227	6492	6468	6289	6333	6358	25	0.004	240
Court St	"R/ 2,3,4,5"	38428	38944	38559	38089	36762	35599	-1163	-0.032	28
161 St - Yankee Stadium	"B,D,4"	26972	27541	27020	26947	26674	26034	-640	-0.024	43
Brooklyn Bridge - City Hall / Chambers St	"4,5,6 / J,Z"	36680	37160	35858	34352	31804	30932	-872	-0.027	32
59 St	"N,R"	12506	12871	13048	13144	16759	12301	-4458	-0.266	126
42 St - Bryant Pk / 5 Av	"B,D,F,M / 7"	53222	54289	55400	57793	57395	55872	-1523	-0.027	12
South Ferry / Whitehall St	"1 R,W"	20405	23017	28809	29534	33019	33797	778	0.024	29
Delancey St / Essex St	"F / J,M,Z"	23691	24154	24902	25625	24993	24562	-431	-0.017	49
Chambers St / WTC / Park Place	"A,C / E / 2,3"	58923	61076	66165	67906	70356	72396	2040	0.029	9
Queensboro Plaza	"N,W,7"	11132	11554	11786	12936	13502	14517	1015	0.075	103
57 St - 7 Av	"N,Q,R,W"	28159	29414	29976	30311	35390	37870	2480	0.07	24
Forest Hills - 71 Av	"E,F,M,R"	27728	27784	28209	28135	27760	26613	-1147	-0.041	38
Park Pl	S	2077	1968	1922	1850	1818	1725	-93	-0.051	406
Franklin Av	"2,3,4,5,S"	15775	15787	15866	15834	15269	14581	-688	-0.045	102
Jamaica - Van Wyck	E	4992	5121	5092	5022	4972	4717	-255	-0.051	298
34 St - Herald Sq	"B,D,F,M,N,Q,R,W"	122517	125355	126776	125682	127664	126576	-1088	-0.009	3
Queens Plaza	"E,M,R"	9696	10125	10475	10652	11369	12747	1378	0.121	119
14 St - Union Sq	"N,Q,R,W,4,5,6"	108158	109472	108440	106718	107141	103572	-3569	-0.033	4
Court Sq	"E,G,M,7"	20446	22433	22717	23317	23672	23995	323	0.014	51
23 St	"F,M"	28749	29327	30652	31078	30758	18416	-12342	-0.401	76
Nevins St	"2,3,4,5"	11468	11752	10896	10716	10699	10426	-273	-0.026	151
Canal St	"J,N,Q,R,W,Z,6"	44696	44362	44409	45030	47601	47034	-567	-0.012	17
DeKalb Av	"B,Q,R"	17318	17350	17889	18774	21230	22069	839	0.04	59
14 St / 6 Av	"F,M,1,2,3 / L"	49316	49990	50335	50692	48565	48508	-57	-0.001	16
74 St - Broadway / Jackson Hts - Roosevelt Av	"7 / E,F,M,R"	50841	51285	51925	52296	52018	51766	-252	-0.005	15
Hoyt - Schermerhorn Sts	"A,C,G"	9604	9672	9818	9894	10319	10540	221	0.021	148
168 St	"A,C, 1"	25041	25659	25845	25879	25589	26138	549	0.021	42
System Total		5465034	5597551	5650610	5655755	5580845	5437587	-143258	-0.026	
Manhattan		3027257	3103039	3130437	3128188	3100902	3042005	-58897	-0.019	
Queens		782322	797420	804251	809903	784312	755778	-28534	-0.036	
Systemwide Adjustment		63	223	152	72	366	-16	-382		
Brooklyn		1178741	1210086	1227391	1226715	1213998	1188606	-25392	-0.021	
Bronx		476651	486783	488379	490877	481267	451214	-30053	-0.062	
Houston St	1	15736	15878	15286	15333	15283	15698	415	0.027	88
Rector St	1	11323	10869	10625	9788	9453	9005	-448	-0.047	170
